,participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.treatment,player.martingale,player.consent,player.knowledge,player.cq1,player.cq2,player.cq4,player.cq5,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
686,27,jjty32g1,5dd5db1ded7ea4574c7bc996,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:48:44.686450+00:00,1,,,237.0,27,,0.0,s2,0.0,1.0,1.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
687,28,6y3fcpqc,5e4b550cbc830a0625f5ceff,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:49:18.638062+00:00,1,,,182.0,28,,0.0,s2,0.0,1.0,7.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
688,29,29go8wqj,5da6139c002c29001335b5a2,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:50:55.850092+00:00,1,,,122.0,29,,0.0,s3,0.0,1.0,8.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
689,30,936ovxtr,5da25f04c8c2de00139ed46b,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:51:20.151622+00:00,1,,,190.0,30,,0.0,s4,1.0,1.0,8.0,The stock price is equally likely to go up or down,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
690,31,719fsc4m,64150c3dc300f214779f4579,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:52:40.891847+00:00,1,,,170.0,31,,0.0,s1,0.0,1.0,3.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
691,32,jwvvgq1p,63c48023d6116ee42fa17bf8,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:53:45.802951+00:00,1,,,211.0,32,,0.0,s1,0.0,1.0,7.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
692,33,zozqv7nt,6294ea877522945ad8df1578,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:54:10.915684+00:00,1,,,322.0,33,,0.0,s2,0.0,1.0,8.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
693,34,51tlabla,575f6c823fc3ac000611dffa,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:54:24.218418+00:00,1,,,217.0,34,,0.0,s2,0.0,1.0,5.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
694,35,b83chy81,5f107aa051372032695c8e2f,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:54:38.868019+00:00,1,,,195.0,35,,0.0,s3,0.0,1.0,5.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
695,36,ctwhxcss,568d286ab5a2c2000cb6a91c,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:54:43.385031+00:00,1,,,169.0,36,,0.0,s4,1.0,1.0,2.0,The stock price is equally likely to go up or down,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
696,37,knqvbawf,6297567582d2ed2d88ae0450,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:55:16.267532+00:00,1,,,135.0,37,,0.0,s1,0.0,1.0,8.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
697,38,qab5ojsz,606b6705399a272af8238dad,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:55:28.588867+00:00,1,,,252.0,38,,0.0,s1,0.0,1.0,2.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
700,41,dzv5jq6g,5dbd597b2d098c2ac14806b2,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:58:06.126934+00:00,1,,,179.0,41,,0.0,s3,0.0,1.0,6.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
702,43,78x65z4g,5b72db405f561b0001342eff,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:59:54.030835+00:00,1,,,262.0,43,,0.0,s1,0.0,1.0,4.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
703,44,gwsyzdnr,5e7a7018ca1800060744e831,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:00:04.840229+00:00,1,,,212.0,44,,0.0,s1,0.0,1.0,4.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
704,45,kl3jmsa7,63e577d9dddff1a70b3df238,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:00:30.276476+00:00,1,,,254.0,45,,0.0,s2,0.0,1.0,6.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
705,46,m37f0uhk,5e2f15bb8028224dd1dd90c9,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:01:52.597556+00:00,1,,,210.0,46,,0.0,s2,0.0,1.0,5.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
706,47,7746bxgt,632db7be32b2465d4397aa9d,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:01:52.723276+00:00,1,,,138.0,47,,0.0,s3,0.0,1.0,4.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
707,48,oqajdyhi,5e8bbb3680cbf20986c677e1,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:04:13.217902+00:00,1,,,172.0,48,,0.0,s4,1.0,1.0,6.0,The stock price is equally likely to go up or down,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
708,49,q1ljacdo,5f5127ced786f21277aa39da,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:04:17.744456+00:00,1,,,210.0,49,,0.0,s1,0.0,1.0,4.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
709,50,7lgvau40,5dd8c6e24c97928688acd05d,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:04:30.458447+00:00,1,,,171.0,50,,0.0,s1,0.0,1.0,3.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
710,51,5l6sbrxp,6148c0a6e2353cbbac1cd506,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:04:53.021439+00:00,1,,,202.0,51,,0.0,s2,0.0,1.0,8.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
711,52,qz37893j,62cd9290653f1ada1c0575e7,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:04:57.265169+00:00,1,,,240.0,52,,0.0,s2,0.0,1.0,1.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
712,53,661sy8xj,5e4465013f75e52fc82f7096,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:04:59.310639+00:00,1,,,216.0,53,,0.0,s3,0.0,1.0,5.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
713,54,7zz4wq8n,5b2890f10ec82d0001d24b61,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:05:49.343392+00:00,1,,,160.0,54,,0.0,s4,1.0,1.0,1.0,The stock price is equally likely to go up or down,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
714,55,ime7j3zc,5f92ea37b7b9c103e0a93d40,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:05:49.932451+00:00,1,,,241.0,55,,0.0,s1,0.0,1.0,2.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
715,56,mpw8w627,5d7fd2a5987f70001602d95b,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:06:00.970586+00:00,1,,,199.0,56,,0.0,s1,0.0,1.0,5.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
716,57,punmb7td,55a28851fdf99b602e6b05dd,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:06:25.011008+00:00,1,,,180.0,57,,0.0,s2,0.0,1.0,5.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
717,58,bvq5sp9r,5edcfe625cd39c9efd5cc2ae,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:06:27.305598+00:00,1,,,241.0,58,,0.0,s2,0.0,1.0,6.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
718,59,o9fexw9j,5b0d1b8e444cef0001ca66ac,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:06:39.690487+00:00,1,,,241.0,59,,0.0,s3,0.0,1.0,1.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
719,60,chbm7523,630e2acdb76b29b94ceecff1,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:06:46.417774+00:00,1,,,149.0,60,,0.0,s4,1.0,1.0,7.0,The stock price is equally likely to go up or down,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
738,79,mb10ijsd,63f7a192f23f12b947c92d36,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:07:39.871440+00:00,1,,,136.0,79,,0.0,s1,0.0,1.0,6.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
739,80,szvauh5h,5c935d881754ba001b25697a,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:08:25.301887+00:00,1,,,210.0,80,,0.0,s1,0.0,1.0,4.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
740,81,tzg2wasi,5c8ec999bb6a3c00014acf5f,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:09:14.308245+00:00,1,,,196.0,81,,0.0,s2,0.0,1.0,2.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
741,82,newepstp,5d8793d36c53380015139da9,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:09:26.148059+00:00,1,,,165.0,82,,0.0,s2,0.0,1.0,3.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
742,83,s7a4n4jx,615366914bfb3d9509710cba,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:09:53.493786+00:00,1,,,171.0,83,,0.0,s3,0.0,1.0,2.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
743,84,bll1fx3g,60b348a8332d26d4b88be6a1,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:09:55.053997+00:00,1,,,179.0,84,,0.0,s4,1.0,1.0,8.0,The stock price is equally likely to go up or down,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
744,85,67twueaz,60db3b18bb1cd76fd466da0a,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:10:20.524612+00:00,1,,,219.0,85,,0.0,s1,0.0,1.0,10.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
745,86,afan4w14,616d09161d975b379aa79f99,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:10:47.783512+00:00,1,,,160.0,86,,0.0,s1,0.0,1.0,7.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
747,88,3vhhjydy,62e7357284e65421d8f8b10f,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:11:06.277350+00:00,1,,,171.0,88,,0.0,s2,0.0,1.0,7.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
748,89,8x4uvovf,60f98abd446a8ee5ed91a8cd,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:11:08.694623+00:00,1,,,164.0,89,,0.0,s3,0.0,1.0,10.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
749,90,0nts58x6,55d5b307cfc2f400054583d1,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:11:16.806435+00:00,1,,,197.0,90,,0.0,s4,1.0,1.0,8.0,The stock price is equally likely to go up or down,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
750,91,mp349oqd,5d4732b70829350016ed314d,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:11:43.647742+00:00,1,,,169.0,91,,0.0,s1,0.0,1.0,5.0,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vvlpwazd,,,,,0
