,participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.block_name,player.treatment_name,player.inner_name,player.notifications,player.hedonic,player.sr_prefs,player.sr_better_decs,player.sr_better_have_option,player.sr_notifications,player.sr_badges,player.sr_confetti,player.gender,player.age,player.nationality,player.education,player.study_major,player.course_financial,player.experiment_before,player.trading_experience,player.online_trading_experience,player.trading_frequency,player.portfolio_frequency,player.asset_class,player.use_leverage,player.purpose,player.difficulty,player.vars_dump,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,cad_payoff
28,33,zozqv7nt,6294ea877522945ad8df1578,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:54:10.915684+00:00,1,,,322.0,33,,12.0,block 2 (G first),"Session II - non-hedonic, price",s2,1,0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",3.0,,,Male,45.0,US,master,Other,0.0,0.0,1.0,1.0,Daily,Weekly,Stocks,Yes,Evaluate a new trading platform feature.,None.,"{""treatments"": [false, true], ""payable_round"": 3, ""treatment"": ""s2"", ""martingale"": false, ""trading_payoff"": 310}",1,1,vvlpwazd,,,,,0,18.5
29,34,51tlabla,575f6c823fc3ac000611dffa,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:54:24.218418+00:00,1,,,217.0,34,,12.0,block 2 (G first),"Session II - non-hedonic, price",s2,1,0,Design 1,Design 2,"Have an option between Design #1 and Design #2,",4.0,,,Female,25.0,US,high-school graduate,Other,0.0,0.0,1.0,1.0,Less than once a month,Less than once a month,Stocks,No,To evaluate how people decide to buy or sell stocks.,No issues,"{""treatments"": [true, false], ""payable_round"": 2, ""treatment"": ""s2"", ""martingale"": false, ""trading_payoff"": 205}",1,1,vvlpwazd,,,,,0,13.25
30,35,b83chy81,5f107aa051372032695c8e2f,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:54:38.868019+00:00,1,,,195.0,35,,10.0,block 2 (G first),Session III - full gamification,s3,1,1,Design 1,Design 1,Only trade on Design #1,2.0,1.0,2.0,Male,22.0,US,high-school graduate,Other,1.0,1.0,0.0,0.0,Less than once a month,Less than once a month,Stocks,Do not know,Determining whether financial literacy has any impact on stock market trading ability.,My computer crashed around the 8th price update in the third round so when I came back I had to restart the third round.,"{""treatments"": [false, true], ""payable_round"": 4, ""treatment"": ""s3"", ""martingale"": false, ""trading_payoff"": 185}",1,1,vvlpwazd,,,,,0,11.75
31,36,ctwhxcss,568d286ab5a2c2000cb6a91c,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:54:43.385031+00:00,1,,,169.0,36,,4.0,block 2 (G first),Session IV - price only+martingale,s4,1,0,Design 1,Design 1,"Have an option between Design #1 and Design #2,",2.0,,,Female,34.0,US,high-school graduate,Other,0.0,0.0,0.0,0.0,Less than once a month,Less than once a month,Cryptocurrencies,Do not know,To understand how the general public views stock trading,,"{""treatments"": [true, false], ""payable_round"": 4, ""treatment"": ""s4"", ""martingale"": true, ""trading_payoff"": 165}",1,1,vvlpwazd,,,,,0,9.25
32,37,knqvbawf,6297567582d2ed2d88ae0450,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:55:16.267532+00:00,1,,,135.0,37,,10.0,block 3 (G second),"Session I - Hedonic, no price",s1,0,1,Design 1,Design 1,"Have an option between Design #1 and Design #2,",,1.0,1.0,Male,33.0,US,undergraduate: 4th year,Other,1.0,0.0,1.0,0.0,Less than once a month,Weekly,Stocks,No,risk tolerance,,"{""treatments"": [false, true], ""payable_round"": 4, ""treatment"": ""s1"", ""martingale"": false, ""trading_payoff"": 125}",1,1,vvlpwazd,,,,,0,8.75
33,38,qab5ojsz,606b6705399a272af8238dad,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:55:28.588867+00:00,1,,,252.0,38,,12.0,block 3 (G second),"Session I - Hedonic, no price",s1,0,1,Design 2,Design 2,"Have an option between Design #1 and Design #2,",,5.0,5.0,Female,53.0,SE,high-school graduate,Economics,0.0,0.0,1.0,1.0,Less than once a month,Less than once a month,Stocks,No,I'm  not sure to be honest...,No,"{""treatments"": [true, false], ""payable_round"": 3, ""treatment"": ""s1"", ""martingale"": false, ""trading_payoff"": 240}",1,1,vvlpwazd,,,,,0,15.0
34,41,dzv5jq6g,5dbd597b2d098c2ac14806b2,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:58:06.126934+00:00,1,,,179.0,41,,9.0,block 3 (G second),Session III - full gamification,s3,1,1,Design 1,Design 1,Only trade on Design #1,2.0,1.0,1.0,Male,35.0,US,undergraduate: 4th year,Other Management,1.0,1.0,1.0,0.0,Less than once a month,Monthly,Bonds,No,testing ability to trade based on interfaces,,"{""treatments"": [false, true], ""payable_round"": 4, ""treatment"": ""s3"", ""martingale"": false, ""trading_payoff"": 170}",1,1,vvlpwazd,,,,,0,10.75
35,43,78x65z4g,5b72db405f561b0001342eff,0,23,23,post_experimental,FinalForProlific,2023-04-11 17:59:54.030835+00:00,1,,,262.0,43,,12.0,block 4 (G second),"Session I - Hedonic, no price",s1,0,1,Design 1,Design 1,Only trade on Design #1,,1.0,1.0,Male,44.0,US,undergraduate: 2nd year,Other,0.0,0.0,1.0,1.0,Less than once a month,Less than once a month,Stocks,No,I honestly don't know. My guess would something having to do with the designs and going for achievements maybe... Cause a lot of times it's not smart to make a buch of moves.,No.,"{""treatments"": [false, true], ""payable_round"": 5, ""treatment"": ""s1"", ""martingale"": false, ""trading_payoff"": 250}",1,1,vvlpwazd,,,,,0,15.5
36,44,gwsyzdnr,5e7a7018ca1800060744e831,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:00:04.840229+00:00,1,,,212.0,44,,7.0,block 4 (G second),"Session I - Hedonic, no price",s1,0,1,Design 2,Design 2,"Have an option between Design #1 and Design #2,",,5.0,5.0,Male,37.0,US,high-school graduate,Other,0.0,0.0,0.0,0.0,Less than once a month,Less than once a month,Stocks,No,To see trends,,"{""treatments"": [true, false], ""payable_round"": 3, ""treatment"": ""s1"", ""martingale"": false, ""trading_payoff"": 205}",1,1,vvlpwazd,,,,,0,12.0
37,45,kl3jmsa7,63e577d9dddff1a70b3df238,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:00:30.276476+00:00,1,,,254.0,45,,9.0,block 4 (G second),"Session II - non-hedonic, price",s2,1,0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",4.0,,,Male,28.0,AU,undergraduate: 3d year,Other,0.0,0.0,1.0,1.0,Monthly,Daily,Cryptocurrencies,No,To gather individuals' trading methods to further design a better user interface. Understanding user's decisions could help create more profits in the market,"None, it was fun!","{""treatments"": [false, true], ""payable_round"": 3, ""treatment"": ""s2"", ""martingale"": false, ""trading_payoff"": 245}",1,1,vvlpwazd,,,,,0,14.5
38,46,m37f0uhk,5e2f15bb8028224dd1dd90c9,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:01:52.597556+00:00,1,,,210.0,46,,10.0,block 4 (G second),"Session II - non-hedonic, price",s2,1,0,Design 2,Design 2,"Have an option between Design #1 and Design #2,",5.0,,,Male,33.0,US,undergraduate: 4th year,Other Management,1.0,0.0,1.0,0.0,Weekly,Weekly,Stocks,No,Financial knowledge and investing,no,"{""treatments"": [true, false], ""payable_round"": 2, ""treatment"": ""s2"", ""martingale"": false, ""trading_payoff"": 200}",1,1,vvlpwazd,,,,,0,12.5
39,47,7746bxgt,632db7be32b2465d4397aa9d,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:01:52.723276+00:00,1,,,138.0,47,,8.0,block 4 (G second),Session III - full gamification,s3,1,1,Design 1,Design 1,Only trade on Design #1,3.0,1.0,1.0,Male,27.0,US,undergraduate: 4th year,Other,0.0,0.0,1.0,0.0,Less than once a month,Less than once a month,Cryptocurrencies,No,risk v reward,,"{""treatments"": [false, true], ""payable_round"": 5, ""treatment"": ""s3"", ""martingale"": false, ""trading_payoff"": 130}",1,1,vvlpwazd,,,,,0,8.5
40,48,oqajdyhi,5e8bbb3680cbf20986c677e1,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:04:13.217902+00:00,1,,,172.0,48,,12.0,block 4 (G second),Session IV - price only+martingale,s4,1,0,Design 1,Design 1,"Have an option between Design #1 and Design #2,",2.0,,,Male,25.0,US,undergraduate: 4th year,Other,0.0,0.0,1.0,1.0,Less than once a month,Less than once a month,Stocks,No,To see how notifications of positive and negative stock movement affect people's willingness to buy and sell,,"{""treatments"": [true, false], ""payable_round"": 2, ""treatment"": ""s4"", ""martingale"": true, ""trading_payoff"": 160}",1,1,vvlpwazd,,,,,0,11.0
41,49,q1ljacdo,5f5127ced786f21277aa39da,0,23,23,post_experimental,FinalForProlific,2023-04-11 18:04:17.744456+00:00,1,,,210.0,49,,10.0,block 1 (G first),"Session I - Hedonic, no price",s1,0,1,Design 2,Design 1,"Have an option between Design #1 and Design #2,",,1.0,3.0,Female,45.0,US,master,Other,0.0,1.0,1.0,1.0,Less than once a month,Weekly,Stocks,No,Test people's patience,no,"{""treatments"": [false, true], ""payable_round"": 3, ""treatment"": ""s1"", ""martingale"": false, ""trading_payoff"": 200}",1,1,vvlpwazd,,,,,0,12.5
