participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.block_name,player.treatment_name,player.inner_name,player.notifications,player.hedonic,player.sr_prefs,player.sr_better_decs,player.sr_better_have_option,player.sr_notifications,player.sr_badges,player.sr_confetti,player.gender,player.age,player.nationality,player.education,player.study_major,player.course_financial,player.experiment_before,player.trading_experience,player.online_trading_experience,player.trading_frequency,player.portfolio_frequency,player.asset_class,player.use_leverage,player.purpose,player.difficulty,player.vars_dump,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
13,lqqsx1za,,0,0,23,,,,0,,,0.00,13,,0.00,block 3 (G second),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,agcjqk3r,,,,,1
14,enrwe6d6,,0,0,23,,,,0,,,0.00,14,,0.00,block 3 (G second),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,agcjqk3r,,,,,1
15,c9322wg2,,0,0,23,,,,0,,,0.00,15,,0.00,block 3 (G second),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,agcjqk3r,,,,,1
16,7rbs2sp4,,0,0,23,,,,0,,,0.00,16,,0.00,block 3 (G second),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,agcjqk3r,,,,,1
17,ieds7tdb,,0,0,23,,,,0,,,0.00,17,,0.00,block 3 (G second),Session III - full gamification,s3,1,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,agcjqk3r,,,,,1
18,u4xjl20a,,0,0,23,,,,0,,,0.00,18,,0.00,block 3 (G second),Session IV - price only+martingale,s4,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,agcjqk3r,,,,,1
19,kj58v4dl,,0,0,23,,,,0,,,0.00,19,,0.00,block 4 (G second),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,agcjqk3r,,,,,1
20,2r7xjt5m,,0,0,23,,,,0,,,0.00,20,,0.00,block 4 (G second),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,agcjqk3r,,,,,1
21,cvyrn3uy,,0,0,23,,,,0,,,0.00,21,,0.00,block 4 (G second),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,agcjqk3r,,,,,1
22,e3c44qbe,,0,0,23,,,,0,,,0.00,22,,0.00,block 4 (G second),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,agcjqk3r,,,,,1
23,8bhmh4d7,,0,0,23,,,,0,,,0.00,23,,0.00,block 4 (G second),Session III - full gamification,s3,1,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,agcjqk3r,,,,,1
24,lvh1j7yh,,0,0,23,,,,0,,,0.00,24,,0.00,block 4 (G second),Session IV - price only+martingale,s4,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,agcjqk3r,,,,,1
1,htsiiigz,,0,9,23,trader_wrapper,AnnounceTrader,2023-02-18 18:02:50.367808+00:00,1,,,0.00,1,,0.00,block 1 (G first),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,dt9vndat,,,,,1
2,05ot34np,,0,0,23,,,,0,,,0.00,2,,0.00,block 1 (G first),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,dt9vndat,,,,,1
3,9eq2kd3q,,0,0,23,,,,0,,,0.00,3,,0.00,block 1 (G first),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,dt9vndat,,,,,1
4,opv4k56a,,0,8,23,trader_wrapper,Trader,2023-02-18 17:59:52.279256+00:00,1,,,0.00,4,,0.00,block 1 (G first),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,dt9vndat,,,,,1
5,pyt8y366,,0,0,23,,,,0,,,0.00,5,,0.00,block 1 (G first),Session III - full gamification,s3,1,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,dt9vndat,,,,,1
6,829c7je4,,0,0,23,,,,0,,,0.00,6,,0.00,block 1 (G first),Session IV - price only+martingale,s4,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,dt9vndat,,,,,1
7,k98oilgs,,0,0,23,,,,0,,,0.00,7,,0.00,block 2 (G first),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,dt9vndat,,,,,1
8,j5ztpiza,,0,0,23,,,,0,,,0.00,8,,0.00,block 2 (G first),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,dt9vndat,,,,,1
9,pzak62gl,,0,0,23,,,,0,,,0.00,9,,0.00,block 2 (G first),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,dt9vndat,,,,,1
10,3g2fa3iy,,0,0,23,,,,0,,,0.00,10,,0.00,block 2 (G first),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,dt9vndat,,,,,1
11,ow1set0f,,0,0,23,,,,0,,,0.00,11,,0.00,block 2 (G first),Session III - full gamification,s3,1,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,dt9vndat,,,,,1
12,yp74lp2b,,0,0,23,,,,0,,,0.00,12,,0.00,block 2 (G first),Session IV - price only+martingale,s4,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,dt9vndat,,,,,1
13,7imes6hd,,0,0,23,,,,0,,,0.00,13,,0.00,block 3 (G second),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,dt9vndat,,,,,1
14,8eszk362,,0,0,23,,,,0,,,0.00,14,,0.00,block 3 (G second),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,dt9vndat,,,,,1
15,3olx25om,,0,0,23,,,,0,,,0.00,15,,0.00,block 3 (G second),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,dt9vndat,,,,,1
16,5c8x8zup,,0,0,23,,,,0,,,0.00,16,,0.00,block 3 (G second),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,dt9vndat,,,,,1
17,b17m65s6,,0,0,23,,,,0,,,0.00,17,,0.00,block 3 (G second),Session III - full gamification,s3,1,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,dt9vndat,,,,,1
18,tk9v2bb8,,0,0,23,,,,0,,,0.00,18,,0.00,block 3 (G second),Session IV - price only+martingale,s4,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,dt9vndat,,,,,1
19,cq7c7kak,,0,0,23,,,,0,,,0.00,19,,0.00,block 4 (G second),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,dt9vndat,,,,,1
20,leqzhjvp,,0,0,23,,,,0,,,0.00,20,,0.00,block 4 (G second),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,dt9vndat,,,,,1
21,l2r7fv2m,,0,0,23,,,,0,,,0.00,21,,0.00,block 4 (G second),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,dt9vndat,,,,,1
22,s6stvqeh,,0,0,23,,,,0,,,0.00,22,,0.00,block 4 (G second),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,dt9vndat,,,,,1
23,ofds3b8p,,0,0,23,,,,0,,,0.00,23,,0.00,block 4 (G second),Session III - full gamification,s3,1,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,dt9vndat,,,,,1
24,vh33off8,,0,0,23,,,,0,,,0.00,24,,0.00,block 4 (G second),Session IV - price only+martingale,s4,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,dt9vndat,,,,,1
1,ymwwxgml,,0,0,23,,,,0,,,0.00,1,,0.00,block 1 (G first),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,22gjy70m,,,,,1
2,o1got17b,,0,0,23,,,,0,,,0.00,2,,0.00,block 1 (G first),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,22gjy70m,,,,,1
3,j7feprnf,,0,0,23,,,,0,,,0.00,3,,0.00,block 1 (G first),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,22gjy70m,,,,,1
4,09ah0y67,,0,0,23,,,,0,,,0.00,4,,0.00,block 1 (G first),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,22gjy70m,,,,,1
5,78gofkmu,,0,0,23,,,,0,,,0.00,5,,0.00,block 1 (G first),Session III - full gamification,s3,1,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,22gjy70m,,,,,1
6,rgtrr0jt,,0,0,23,,,,0,,,0.00,6,,0.00,block 1 (G first),Session IV - price only+martingale,s4,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,22gjy70m,,,,,1
7,pzw54je7,,0,0,23,,,,0,,,0.00,7,,0.00,block 2 (G first),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,22gjy70m,,,,,1
8,6tflui6y,,0,0,23,,,,0,,,0.00,8,,0.00,block 2 (G first),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,22gjy70m,,,,,1
9,8qoh7c4z,,0,0,23,,,,0,,,0.00,9,,0.00,block 2 (G first),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,22gjy70m,,,,,1
10,8gogkyzo,,0,0,23,,,,0,,,0.00,10,,0.00,block 2 (G first),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,22gjy70m,,,,,1
11,4yyau1uj,,0,0,23,,,,0,,,0.00,11,,0.00,block 2 (G first),Session III - full gamification,s3,1,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,22gjy70m,,,,,1
12,gjgt1et2,,0,0,23,,,,0,,,0.00,12,,0.00,block 2 (G first),Session IV - price only+martingale,s4,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,22gjy70m,,,,,1
13,h1ttn7rs,,0,0,23,,,,0,,,0.00,13,,0.00,block 3 (G second),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,22gjy70m,,,,,1
14,8czpj94k,,0,0,23,,,,0,,,0.00,14,,0.00,block 3 (G second),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,22gjy70m,,,,,1
15,dpvrlnwk,,0,0,23,,,,0,,,0.00,15,,0.00,block 3 (G second),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,22gjy70m,,,,,1
16,3ycad6od,,0,0,23,,,,0,,,0.00,16,,0.00,block 3 (G second),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,22gjy70m,,,,,1
17,f5udf5fd,,0,0,23,,,,0,,,0.00,17,,0.00,block 3 (G second),Session III - full gamification,s3,1,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,22gjy70m,,,,,1
18,c8g2a85a,,0,0,23,,,,0,,,0.00,18,,0.00,block 3 (G second),Session IV - price only+martingale,s4,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,22gjy70m,,,,,1
19,lbgyo8wd,,0,0,23,,,,0,,,0.00,19,,0.00,block 4 (G second),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,22gjy70m,,,,,1
20,fftov1yo,,0,0,23,,,,0,,,0.00,20,,0.00,block 4 (G second),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,22gjy70m,,,,,1
21,9iipwb9k,,0,0,23,,,,0,,,0.00,21,,0.00,block 4 (G second),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,22gjy70m,,,,,1
22,stccpfuy,,0,0,23,,,,0,,,0.00,22,,0.00,block 4 (G second),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,22gjy70m,,,,,1
23,cv0871m1,,0,0,23,,,,0,,,0.00,23,,0.00,block 4 (G second),Session III - full gamification,s3,1,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,22gjy70m,,,,,1
24,pyzn6h2q,,0,0,23,,,,0,,,0.00,24,,0.00,block 4 (G second),Session IV - price only+martingale,s4,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,22gjy70m,,,,,1
1,6ksbn1hm,,0,5,9,post_experimental,FinQuiz,2023-02-18 18:21:19.395662+00:00,1,,,0.00,1,,0.00,block 1 (G first),"Session I - Hedonic, no price",s1,0,1,Design 2,Design 1,"Have an option between Design #1 and Design #2,",,3,5,,,CA,,,,,,,,,,,,,{},1,1,xd2ncmuq,,,,,1
2,zvup43ee,,0,0,9,,,,0,,,0.00,2,,0.00,block 1 (G first),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,xd2ncmuq,,,,,1
3,hr1et1k3,,0,0,9,,,,0,,,0.00,3,,0.00,block 1 (G first),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,xd2ncmuq,,,,,1
4,1r67v7hy,,0,0,9,,,,0,,,0.00,4,,0.00,block 1 (G first),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,xd2ncmuq,,,,,1
5,1nf6bhvs,,0,0,9,,,,0,,,0.00,5,,0.00,block 1 (G first),Session III - full gamification,s3,1,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,xd2ncmuq,,,,,1
6,4anld7mm,,0,0,9,,,,0,,,0.00,6,,0.00,block 1 (G first),Session IV - price only+martingale,s4,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,xd2ncmuq,,,,,1
7,tthniuis,,0,0,9,,,,0,,,0.00,7,,0.00,block 2 (G first),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,xd2ncmuq,,,,,1
8,lpnvn6j8,,0,0,9,,,,0,,,0.00,8,,0.00,block 2 (G first),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,xd2ncmuq,,,,,1
9,c188gj4x,,0,0,9,,,,0,,,0.00,9,,0.00,block 2 (G first),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,xd2ncmuq,,,,,1
10,6lou7tne,,0,0,9,,,,0,,,0.00,10,,0.00,block 2 (G first),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,xd2ncmuq,,,,,1
11,9b6nhlg7,,0,0,9,,,,0,,,0.00,11,,0.00,block 2 (G first),Session III - full gamification,s3,1,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,xd2ncmuq,,,,,1
12,ddkqix17,,0,0,9,,,,0,,,0.00,12,,0.00,block 2 (G first),Session IV - price only+martingale,s4,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,xd2ncmuq,,,,,1
13,etpiu01k,,0,0,9,,,,0,,,0.00,13,,0.00,block 3 (G second),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,xd2ncmuq,,,,,1
14,zlihracj,,0,0,9,,,,0,,,0.00,14,,0.00,block 3 (G second),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,xd2ncmuq,,,,,1
15,6fiwrhjt,,0,0,9,,,,0,,,0.00,15,,0.00,block 3 (G second),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,xd2ncmuq,,,,,1
16,gsygjmoe,,0,0,9,,,,0,,,0.00,16,,0.00,block 3 (G second),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,xd2ncmuq,,,,,1
17,dttinaz3,,0,0,9,,,,0,,,0.00,17,,0.00,block 3 (G second),Session III - full gamification,s3,1,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,xd2ncmuq,,,,,1
18,zt5vhhwp,,0,0,9,,,,0,,,0.00,18,,0.00,block 3 (G second),Session IV - price only+martingale,s4,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,xd2ncmuq,,,,,1
19,f9colhlt,,0,0,9,,,,0,,,0.00,19,,0.00,block 4 (G second),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,xd2ncmuq,,,,,1
20,80hwlbtp,,0,0,9,,,,0,,,0.00,20,,0.00,block 4 (G second),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,xd2ncmuq,,,,,1
21,zvljj6fz,,0,0,9,,,,0,,,0.00,21,,0.00,block 4 (G second),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,xd2ncmuq,,,,,1
22,sevda9d9,,0,0,9,,,,0,,,0.00,22,,0.00,block 4 (G second),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,xd2ncmuq,,,,,1
23,77ast0ey,,0,0,9,,,,0,,,0.00,23,,0.00,block 4 (G second),Session III - full gamification,s3,1,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,xd2ncmuq,,,,,1
24,phlbpho4,,0,0,9,,,,0,,,0.00,24,,0.00,block 4 (G second),Session IV - price only+martingale,s4,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,xd2ncmuq,,,,,1
1,nb26g4yl,,0,8,23,trader_wrapper,Trader,2023-02-19 17:54:19.874837+00:00,1,,,0.00,1,,0.00,block 1 (G first),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,602cn794,,,,,1
2,21fg9al9,,0,0,23,,,,0,,,0.00,2,,0.00,block 1 (G first),"Session I - Hedonic, no price",s1,0,1,,,,,,,,,CA,,,,,,,,,,,,,,1,1,602cn794,,,,,1
3,w884em2s,,0,0,23,,,,0,,,0.00,3,,0.00,block 1 (G first),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,602cn794,,,,,1
4,fpbljdn3,,0,0,23,,,,0,,,0.00,4,,0.00,block 1 (G first),"Session II - non-hedonic, price",s2,1,0,,,,,,,,,CA,,,,,,,,,,,,,,1,1,602cn794,,,,,1
