session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time,round_number,timeout_happened,is_wait_page
vmu7c279,4,vqwit263,1,pretrade,Consent,1677102616,1,0,0
vmu7c279,3,mi0088eg,3,pretrade,CQPage,1677102654,1,0,0
vmu7c279,3,mi0088eg,4,pretrade,KnowledgeP,1677102667,1,0,0
vmu7c279,3,mi0088eg,5,trader_wrapper,AnnounceTrader,1677102670,1,0,0
vmu7c279,3,mi0088eg,6,trader_wrapper,Trader,1677102726,1,0,0
vmu7c279,3,mi0088eg,7,trader_wrapper,AnnounceTrader,1677102732,2,0,0
vmu7c279,3,mi0088eg,8,trader_wrapper,Trader,1677103126,2,0,0
vmu7c279,3,mi0088eg,9,trader_wrapper,AnnounceTrader,1677103128,3,0,0
vmu7c279,3,mi0088eg,10,trader_wrapper,Trader,1677103462,3,0,0
vmu7c279,3,mi0088eg,11,trader_wrapper,AnnounceTrader,1677103532,4,0,0
vmu7c279,3,mi0088eg,12,trader_wrapper,Trader,1677103872,4,0,0
vmu7c279,3,mi0088eg,13,trader_wrapper,AnnounceTrader,1677103875,5,0,0
vmu7c279,3,mi0088eg,14,trader_wrapper,Trader,1677104203,5,0,0
vmu7c279,3,mi0088eg,15,post_experimental,SelfReflection1,1677104229,1,0,0
vmu7c279,3,mi0088eg,16,post_experimental,SelfReflection2,1677104239,1,0,0
vmu7c279,3,mi0088eg,17,post_experimental,SelfReflection3,1677104247,1,0,0
vmu7c279,3,mi0088eg,18,post_experimental,SelfReflection4,1677104258,1,0,0
vmu7c279,3,mi0088eg,19,post_experimental,FinQuiz,1677104673,1,0,0
vmu7c279,3,mi0088eg,20,post_experimental,Q,1677105042,1,0,0
vmu7c279,10,7jonfg2l,1,pretrade,Consent,1677283367,1,0,0
vmu7c279,10,7jonfg2l,2,pretrade,Instructions,1677283694,1,0,0
vmu7c279,10,7jonfg2l,3,pretrade,CQPage,1677283764,1,0,0
vmu7c279,10,7jonfg2l,4,pretrade,KnowledgeP,1677283776,1,0,0
vmu7c279,10,7jonfg2l,5,trader_wrapper,AnnounceTrader,1677283780,1,0,0
vmu7c279,10,7jonfg2l,6,trader_wrapper,Trader,1677283837,1,0,0
vmu7c279,10,7jonfg2l,7,trader_wrapper,AnnounceTrader,1677283841,2,0,0
vmu7c279,10,7jonfg2l,8,trader_wrapper,Trader,1677284229,2,0,0
vmu7c279,10,7jonfg2l,9,trader_wrapper,AnnounceTrader,1677284234,3,0,0
vmu7c279,10,7jonfg2l,10,trader_wrapper,Trader,1677284580,3,0,0
vmu7c279,10,7jonfg2l,11,trader_wrapper,AnnounceTrader,1677284583,4,0,0
vmu7c279,10,7jonfg2l,12,trader_wrapper,Trader,1677284926,4,0,0
vmu7c279,10,7jonfg2l,14,trader_wrapper,Trader,1677285577,5,0,0
vmu7c279,10,7jonfg2l,15,post_experimental,SelfReflection1,1677285617,1,0,0
vmu7c279,10,7jonfg2l,16,post_experimental,SelfReflection2,1677285643,1,0,0
vmu7c279,10,7jonfg2l,17,post_experimental,SelfReflection3,1677285700,1,0,0
vmu7c279,10,7jonfg2l,18,post_experimental,SelfReflection4,1677285721,1,0,0
vmu7c279,10,7jonfg2l,19,post_experimental,FinQuiz,1677286150,1,0,0
vmu7c279,10,7jonfg2l,20,post_experimental,Q,1677286449,1,0,0
vmu7c279,10,7jonfg2l,21,post_experimental,Results,1677286500,1,0,0
vmu7c279,10,7jonfg2l,22,post_experimental,Debriefing,1677286529,1,0,0
vmu7c279,11,5c7udvpd,1,pretrade,Consent,1677291475,1,0,0
vmu7c279,11,5c7udvpd,2,pretrade,Instructions,1677291738,1,0,0
vmu7c279,11,5c7udvpd,3,pretrade,CQPage,1677292119,1,0,0
vmu7c279,11,5c7udvpd,4,pretrade,KnowledgeP,1677292135,1,0,0
vmu7c279,11,5c7udvpd,5,trader_wrapper,AnnounceTrader,1677292137,1,0,0
vmu7c279,11,5c7udvpd,6,trader_wrapper,Trader,1677292192,1,0,0
vmu7c279,11,5c7udvpd,7,trader_wrapper,AnnounceTrader,1677292197,2,0,0
vmu7c279,11,5c7udvpd,8,trader_wrapper,Trader,1677292555,2,0,0
vmu7c279,11,5c7udvpd,9,trader_wrapper,AnnounceTrader,1677292557,3,0,0
vmu7c279,11,5c7udvpd,10,trader_wrapper,Trader,1677292915,3,0,0
vmu7c279,11,5c7udvpd,11,trader_wrapper,AnnounceTrader,1677292917,4,0,0
vmu7c279,11,5c7udvpd,12,trader_wrapper,Trader,1677293457,4,0,0
vmu7c279,11,5c7udvpd,13,trader_wrapper,AnnounceTrader,1677293459,5,0,0
vmu7c279,11,5c7udvpd,14,trader_wrapper,Trader,1677293800,5,0,0
vmu7c279,11,5c7udvpd,15,post_experimental,SelfReflection1,1677293810,1,0,0
vmu7c279,11,5c7udvpd,16,post_experimental,SelfReflection2,1677293823,1,0,0
vmu7c279,11,5c7udvpd,17,post_experimental,SelfReflection3,1677293830,1,0,0
vmu7c279,11,5c7udvpd,18,post_experimental,SelfReflection4,1677293865,1,0,0
vmu7c279,11,5c7udvpd,19,post_experimental,FinQuiz,1677295863,1,0,0
vmu7c279,11,5c7udvpd,20,post_experimental,Q,1677296461,1,0,0
vmu7c279,11,5c7udvpd,21,post_experimental,Results,1677296539,1,0,0
vmu7c279,11,5c7udvpd,22,post_experimental,Debriefing,1677296575,1,0,0
vmu7c279,14,nlp1gb1k,1,pretrade,Consent,1677367802,1,0,0
vmu7c279,14,nlp1gb1k,2,pretrade,Instructions,1677370379,1,0,0
vmu7c279,14,nlp1gb1k,3,pretrade,CQPage,1677370610,1,0,0
vmu7c279,14,nlp1gb1k,4,pretrade,KnowledgeP,1677370622,1,0,0
vmu7c279,14,nlp1gb1k,5,trader_wrapper,AnnounceTrader,1677370625,1,0,0
vmu7c279,14,nlp1gb1k,6,trader_wrapper,Trader,1677370683,1,0,0
vmu7c279,14,nlp1gb1k,7,trader_wrapper,AnnounceTrader,1677370685,2,0,0
vmu7c279,14,nlp1gb1k,8,trader_wrapper,Trader,1677371031,2,0,0
vmu7c279,14,nlp1gb1k,9,trader_wrapper,AnnounceTrader,1677371035,3,0,0
vmu7c279,14,nlp1gb1k,10,trader_wrapper,Trader,1677371375,3,0,0
vmu7c279,14,nlp1gb1k,11,trader_wrapper,AnnounceTrader,1677371378,4,0,0
vmu7c279,14,nlp1gb1k,12,trader_wrapper,Trader,1677371761,4,0,0
vmu7c279,14,nlp1gb1k,13,trader_wrapper,AnnounceTrader,1677371764,5,0,0
vmu7c279,14,nlp1gb1k,14,trader_wrapper,Trader,1677372112,5,0,0
vmu7c279,14,nlp1gb1k,15,post_experimental,SelfReflection1,1677372119,1,0,0
vmu7c279,14,nlp1gb1k,16,post_experimental,SelfReflection2,1677372127,1,0,0
vmu7c279,14,nlp1gb1k,17,post_experimental,SelfReflection3,1677372136,1,0,0
vmu7c279,14,nlp1gb1k,18,post_experimental,SelfReflection4,1677372150,1,0,0
vmu7c279,14,nlp1gb1k,19,post_experimental,FinQuiz,1677372808,1,0,0
vmu7c279,14,nlp1gb1k,20,post_experimental,Q,1677373110,1,0,0
vmu7c279,15,gcs54w3b,1,pretrade,Consent,1677438499,1,0,0
vmu7c279,15,gcs54w3b,2,pretrade,Instructions,1677438565,1,0,0
vmu7c279,15,gcs54w3b,3,pretrade,CQPage,1677438639,1,0,0
vmu7c279,15,gcs54w3b,4,pretrade,KnowledgeP,1677438645,1,0,0
vmu7c279,15,gcs54w3b,5,trader_wrapper,AnnounceTrader,1677438647,1,0,0
vmu7c279,15,gcs54w3b,6,trader_wrapper,Trader,1677438703,1,0,0
vmu7c279,15,gcs54w3b,7,trader_wrapper,AnnounceTrader,1677438706,2,0,0
vmu7c279,15,gcs54w3b,8,trader_wrapper,Trader,1677439049,2,0,0
vmu7c279,15,gcs54w3b,9,trader_wrapper,AnnounceTrader,1677439051,3,0,0
vmu7c279,15,gcs54w3b,10,trader_wrapper,Trader,1677439414,3,0,0
vmu7c279,15,gcs54w3b,11,trader_wrapper,AnnounceTrader,1677439417,4,0,0
vmu7c279,15,gcs54w3b,12,trader_wrapper,Trader,1677439744,4,0,0
vmu7c279,15,gcs54w3b,13,trader_wrapper,AnnounceTrader,1677439773,5,0,0
vmu7c279,15,gcs54w3b,14,trader_wrapper,Trader,1677440099,5,0,0
vmu7c279,15,gcs54w3b,15,post_experimental,SelfReflection1,1677440112,1,0,0
vmu7c279,15,gcs54w3b,16,post_experimental,SelfReflection2,1677440119,1,0,0
vmu7c279,15,gcs54w3b,17,post_experimental,SelfReflection3,1677440126,1,0,0
vmu7c279,15,gcs54w3b,18,post_experimental,SelfReflection4,1677440131,1,0,0
vmu7c279,15,gcs54w3b,19,post_experimental,FinQuiz,1677440671,1,0,0
vmu7c279,15,gcs54w3b,20,post_experimental,Q,1677440727,1,0,0
vmu7c279,15,gcs54w3b,21,post_experimental,Results,1677440819,1,0,0
vmu7c279,16,xyxg2tr7,1,pretrade,Consent,1677476091,1,0,0
vmu7c279,18,bz4stjvu,1,pretrade,Consent,1677554677,1,0,0
vmu7c279,20,hre8fq8i,1,pretrade,Consent,1677711306,1,0,0
vmu7c279,20,hre8fq8i,2,pretrade,Instructions,1677711497,1,0,0
vmu7c279,20,hre8fq8i,3,pretrade,CQPage,1677711546,1,0,0
vmu7c279,20,hre8fq8i,4,pretrade,KnowledgeP,1677711553,1,0,0
vmu7c279,20,hre8fq8i,5,trader_wrapper,AnnounceTrader,1677711556,1,0,0
vmu7c279,20,hre8fq8i,6,trader_wrapper,Trader,1677711614,1,0,0
vmu7c279,20,hre8fq8i,7,trader_wrapper,AnnounceTrader,1677711617,2,0,0
vmu7c279,20,hre8fq8i,8,trader_wrapper,Trader,1677711971,2,0,0
vmu7c279,20,hre8fq8i,9,trader_wrapper,AnnounceTrader,1677711975,3,0,0
vmu7c279,20,hre8fq8i,10,trader_wrapper,Trader,1677712313,3,0,0
vmu7c279,20,hre8fq8i,11,trader_wrapper,AnnounceTrader,1677712320,4,0,0
vmu7c279,20,hre8fq8i,12,trader_wrapper,Trader,1677712672,4,0,0
vmu7c279,20,hre8fq8i,13,trader_wrapper,AnnounceTrader,1677712674,5,0,0
vmu7c279,20,hre8fq8i,14,trader_wrapper,Trader,1677713023,5,0,0
vmu7c279,20,hre8fq8i,15,post_experimental,SelfReflection1,1677713035,1,0,0
vmu7c279,20,hre8fq8i,16,post_experimental,SelfReflection2,1677713044,1,0,0
vmu7c279,20,hre8fq8i,17,post_experimental,SelfReflection3,1677713051,1,0,0
vmu7c279,20,hre8fq8i,18,post_experimental,SelfReflection4,1677713065,1,0,0
vmu7c279,20,hre8fq8i,19,post_experimental,FinQuiz,1677713417,1,0,0
vmu7c279,20,hre8fq8i,20,post_experimental,Q,1677713737,1,0,0
vmu7c279,21,pb727kvg,1,pretrade,Consent,1677884505,1,0,0
vmu7c279,21,pb727kvg,2,pretrade,Instructions,1677884662,1,0,0
vmu7c279,21,pb727kvg,3,pretrade,CQPage,1677884728,1,0,0
vmu7c279,21,pb727kvg,4,pretrade,KnowledgeP,1677884744,1,0,0
vmu7c279,21,pb727kvg,5,trader_wrapper,AnnounceTrader,1677884746,1,0,0
vmu7c279,21,pb727kvg,6,trader_wrapper,Trader,1677884801,1,0,0
vmu7c279,21,pb727kvg,7,trader_wrapper,AnnounceTrader,1677884808,2,0,0
vmu7c279,21,pb727kvg,8,trader_wrapper,Trader,1677885181,2,0,0
vmu7c279,21,pb727kvg,9,trader_wrapper,AnnounceTrader,1677885185,3,0,0
vmu7c279,21,pb727kvg,10,trader_wrapper,Trader,1677885522,3,0,0
vmu7c279,21,pb727kvg,11,trader_wrapper,AnnounceTrader,1677885525,4,0,0
vmu7c279,21,pb727kvg,12,trader_wrapper,Trader,1677885859,4,0,0
vmu7c279,21,pb727kvg,13,trader_wrapper,AnnounceTrader,1677885861,5,0,0
vmu7c279,21,pb727kvg,14,trader_wrapper,Trader,1677886193,5,0,0
vmu7c279,21,pb727kvg,15,post_experimental,SelfReflection1,1677886242,1,0,0
vmu7c279,21,pb727kvg,16,post_experimental,SelfReflection2,1677886264,1,0,0
vmu7c279,21,pb727kvg,17,post_experimental,SelfReflection3,1677886270,1,0,0
vmu7c279,21,pb727kvg,18,post_experimental,SelfReflection4,1677886280,1,0,0
vmu7c279,21,pb727kvg,19,post_experimental,FinQuiz,1677887247,1,0,0
vmu7c279,21,pb727kvg,20,post_experimental,Q,1677887399,1,0,0
vmu7c279,21,pb727kvg,21,post_experimental,Results,1677887412,1,0,0
vmu7c279,21,pb727kvg,22,post_experimental,Debriefing,1677887415,1,0,0
g5ys7ay6,1,h69vkyzk,1,pretrade,Consent,1677912203,1,0,0
g5ys7ay6,1,h69vkyzk,2,pretrade,Instructions,1677912211,1,0,0
c8o0bjrg,1,a5lpxlav,1,trader_wrapper,AnnounceTrader,1677912253,1,0,0
c8o0bjrg,1,a5lpxlav,2,trader_wrapper,Trader,1677912310,1,0,0
c8o0bjrg,1,a5lpxlav,3,trader_wrapper,AnnounceTrader,1677912313,2,0,0
c8o0bjrg,1,a5lpxlav,4,trader_wrapper,Trader,1677912691,2,0,0
c8o0bjrg,1,a5lpxlav,5,trader_wrapper,AnnounceTrader,1677912693,3,0,0
c8o0bjrg,1,a5lpxlav,6,trader_wrapper,Trader,1677913036,3,0,0
c8o0bjrg,1,a5lpxlav,7,trader_wrapper,AnnounceTrader,1677913038,4,0,0
c8o0bjrg,1,a5lpxlav,8,trader_wrapper,Trader,1677913362,4,0,0
c8o0bjrg,1,a5lpxlav,9,trader_wrapper,AnnounceTrader,1677913365,5,0,0
c8o0bjrg,1,a5lpxlav,10,trader_wrapper,Trader,1677913691,5,0,0
vmu7c279,23,pgdv91vz,1,pretrade,Consent,1677950464,1,0,0
vmu7c279,23,pgdv91vz,2,pretrade,Instructions,1677950730,1,0,0
vmu7c279,23,pgdv91vz,3,pretrade,CQPage,1677950817,1,0,0
vmu7c279,23,pgdv91vz,4,pretrade,KnowledgeP,1677950831,1,0,0
vmu7c279,23,pgdv91vz,5,trader_wrapper,AnnounceTrader,1677950832,1,0,0
vmu7c279,23,pgdv91vz,6,trader_wrapper,Trader,1677950888,1,0,0
vmu7c279,23,pgdv91vz,7,trader_wrapper,AnnounceTrader,1677950891,2,0,0
vmu7c279,23,pgdv91vz,8,trader_wrapper,Trader,1677951252,2,0,0
vmu7c279,23,pgdv91vz,9,trader_wrapper,AnnounceTrader,1677951255,3,0,0
vmu7c279,25,j6by7vxv,1,pretrade,Consent,1677951572,1,0,0
vmu7c279,25,j6by7vxv,2,pretrade,Instructions,1677951581,1,0,0
vmu7c279,23,pgdv91vz,10,trader_wrapper,Trader,1677951587,3,0,0
vmu7c279,23,pgdv91vz,11,trader_wrapper,AnnounceTrader,1677951589,4,0,0
z636eo13,1,uitwy5k3,1,pretrade,Consent,1677951618,1,0,0
z636eo13,1,uitwy5k3,2,pretrade,Instructions,1677951621,1,0,0
z636eo13,1,uitwy5k3,3,pretrade,CQPage,1677951796,1,0,0
z636eo13,1,uitwy5k3,4,pretrade,KnowledgeP,1677951805,1,0,0
z636eo13,1,uitwy5k3,5,trader_wrapper,AnnounceTrader,1677951807,1,0,0
z636eo13,1,uitwy5k3,6,trader_wrapper,Trader,1677951862,1,0,0
z636eo13,1,uitwy5k3,7,trader_wrapper,AnnounceTrader,1677951864,2,0,0
vmu7c279,23,pgdv91vz,12,trader_wrapper,Trader,1677951942,4,0,0
vmu7c279,23,pgdv91vz,13,trader_wrapper,AnnounceTrader,1677951945,5,0,0
z636eo13,1,uitwy5k3,8,trader_wrapper,Trader,1677952208,2,0,0
z636eo13,1,uitwy5k3,9,trader_wrapper,AnnounceTrader,1677952210,3,0,0
vmu7c279,23,pgdv91vz,14,trader_wrapper,Trader,1677952276,5,0,0
vmu7c279,23,pgdv91vz,15,post_experimental,SelfReflection1,1677952288,1,0,0
vmu7c279,23,pgdv91vz,16,post_experimental,SelfReflection2,1677952291,1,0,0
vmu7c279,23,pgdv91vz,17,post_experimental,SelfReflection3,1677952301,1,0,0
vmu7c279,23,pgdv91vz,18,post_experimental,SelfReflection4,1677952321,1,0,0
4xs6p66a,1,ccdegur7,1,post_experimental,SelfReflection1,1677952435,1,0,0
4xs6p66a,1,ccdegur7,2,post_experimental,SelfReflection2,1677952443,1,0,0
4xs6p66a,1,ccdegur7,3,post_experimental,SelfReflection3,1677952452,1,0,0
4xs6p66a,1,ccdegur7,4,post_experimental,SelfReflection4,1677952477,1,0,0
4xs6p66a,1,ccdegur7,5,post_experimental,FinQuiz,1677953005,1,0,0
vmu7c279,23,pgdv91vz,19,post_experimental,FinQuiz,1677953011,1,0,0
4xs6p66a,1,ccdegur7,6,post_experimental,Q,1677953084,1,0,0
vmu7c279,23,pgdv91vz,20,post_experimental,Q,1677953245,1,0,0
vmu7c279,23,pgdv91vz,21,post_experimental,Results,1677953263,1,0,0
vmu7c279,23,pgdv91vz,22,post_experimental,Debriefing,1677953296,1,0,0
4xs6p66a,1,ccdegur7,7,post_experimental,Results,1677953327,1,0,0
4xs6p66a,1,ccdegur7,8,post_experimental,Debriefing,1677953330,1,0,0
4xs6p66a,2,x3cqwjho,1,post_experimental,SelfReflection1,1677953343,1,0,0
4xs6p66a,2,x3cqwjho,2,post_experimental,SelfReflection2,1677953344,1,0,0
4xs6p66a,2,x3cqwjho,3,post_experimental,SelfReflection3,1677953346,1,0,0
4xs6p66a,2,x3cqwjho,4,post_experimental,SelfReflection4,1677953349,1,0,0
4xs6p66a,2,x3cqwjho,5,post_experimental,FinQuiz,1677953436,1,0,0
4xs6p66a,2,x3cqwjho,6,post_experimental,Q,1677953486,1,0,0
4xs6p66a,3,9nxe0nx5,1,post_experimental,SelfReflection1,1677953782,1,0,0
4xs6p66a,3,9nxe0nx5,2,post_experimental,SelfReflection2,1677953784,1,0,0
4xs6p66a,3,9nxe0nx5,3,post_experimental,SelfReflection3,1677953785,1,0,0
4xs6p66a,3,9nxe0nx5,4,post_experimental,SelfReflection4,1677953787,1,0,0
4xs6p66a,3,9nxe0nx5,5,post_experimental,FinQuiz,1677953830,1,0,0
4xs6p66a,3,9nxe0nx5,6,post_experimental,Q,1677953884,1,0,0
4xs6p66a,4,d6z6ah9g,1,post_experimental,SelfReflection1,1677953907,1,0,0
4xs6p66a,4,d6z6ah9g,2,post_experimental,SelfReflection2,1677953909,1,0,0
4xs6p66a,4,d6z6ah9g,3,post_experimental,SelfReflection3,1677953911,1,0,0
4xs6p66a,4,d6z6ah9g,4,post_experimental,SelfReflection4,1677953913,1,0,0
vmu7c279,27,3cbm3sys,1,pretrade,Consent,1677958657,1,0,0
vmu7c279,28,galec1ga,1,pretrade,Consent,1677958994,1,0,0
vmu7c279,27,3cbm3sys,2,pretrade,Instructions,1677959056,1,0,0
vmu7c279,28,galec1ga,2,pretrade,Instructions,1677959204,1,0,0
vmu7c279,28,galec1ga,3,pretrade,CQPage,1677959317,1,0,0
vmu7c279,27,3cbm3sys,3,pretrade,CQPage,1677959320,1,0,0
vmu7c279,27,3cbm3sys,4,pretrade,KnowledgeP,1677959342,1,0,0
vmu7c279,28,galec1ga,4,pretrade,KnowledgeP,1677959344,1,0,0
vmu7c279,27,3cbm3sys,5,trader_wrapper,AnnounceTrader,1677959346,1,0,0
vmu7c279,28,galec1ga,5,trader_wrapper,AnnounceTrader,1677959350,1,0,0
vmu7c279,27,3cbm3sys,6,trader_wrapper,Trader,1677959402,1,0,0
vmu7c279,28,galec1ga,6,trader_wrapper,Trader,1677959411,1,0,0
vmu7c279,27,3cbm3sys,7,trader_wrapper,AnnounceTrader,1677959414,2,0,0
vmu7c279,28,galec1ga,7,trader_wrapper,AnnounceTrader,1677959415,2,0,0
vmu7c279,27,3cbm3sys,8,trader_wrapper,Trader,1677959778,2,0,0
vmu7c279,27,3cbm3sys,9,trader_wrapper,AnnounceTrader,1677959786,3,0,0
vmu7c279,28,galec1ga,8,trader_wrapper,Trader,1677959800,2,0,0
vmu7c279,28,galec1ga,9,trader_wrapper,AnnounceTrader,1677959802,3,0,0
vmu7c279,27,3cbm3sys,10,trader_wrapper,Trader,1677960125,3,0,0
vmu7c279,27,3cbm3sys,11,trader_wrapper,AnnounceTrader,1677960128,4,0,0
vmu7c279,28,galec1ga,10,trader_wrapper,Trader,1677960155,3,0,0
vmu7c279,28,galec1ga,11,trader_wrapper,AnnounceTrader,1677960158,4,0,0
vmu7c279,27,3cbm3sys,12,trader_wrapper,Trader,1677960464,4,0,0
vmu7c279,27,3cbm3sys,13,trader_wrapper,AnnounceTrader,1677960467,5,0,0
vmu7c279,28,galec1ga,12,trader_wrapper,Trader,1677960498,4,0,0
vmu7c279,28,galec1ga,13,trader_wrapper,AnnounceTrader,1677960500,5,0,0
vmu7c279,27,3cbm3sys,14,trader_wrapper,Trader,1677960810,5,0,0
vmu7c279,28,galec1ga,14,trader_wrapper,Trader,1677960836,5,0,0
vmu7c279,27,3cbm3sys,15,post_experimental,SelfReflection1,1677960857,1,0,0
vmu7c279,27,3cbm3sys,16,post_experimental,SelfReflection2,1677960869,1,0,0
vmu7c279,27,3cbm3sys,17,post_experimental,SelfReflection3,1677960886,1,0,0
vmu7c279,28,galec1ga,15,post_experimental,SelfReflection1,1677960891,1,0,0
vmu7c279,27,3cbm3sys,18,post_experimental,SelfReflection4,1677960898,1,0,0
vmu7c279,28,galec1ga,16,post_experimental,SelfReflection2,1677960906,1,0,0
vmu7c279,28,galec1ga,17,post_experimental,SelfReflection3,1677960916,1,0,0
2hme550h,1,mgrbnn0y,1,pretrade,Consent,1677960922,1,0,0
vmu7c279,28,galec1ga,18,post_experimental,SelfReflection4,1677960924,1,0,0
2hme550h,1,mgrbnn0y,2,pretrade,Instructions,1677960941,1,0,0
2hme550h,1,mgrbnn0y,3,pretrade,CQPage,1677960995,1,0,0
2hme550h,1,mgrbnn0y,4,pretrade,KnowledgeP,1677961008,1,0,0
2hme550h,1,mgrbnn0y,5,trader_wrapper,AnnounceTrader,1677961014,1,0,0
2hme550h,1,mgrbnn0y,6,trader_wrapper,Trader,1677961072,1,0,0
2hme550h,1,mgrbnn0y,7,trader_wrapper,AnnounceTrader,1677961079,2,0,0
vmu7c279,27,3cbm3sys,19,post_experimental,FinQuiz,1677961632,1,0,0
vmu7c279,28,galec1ga,19,post_experimental,FinQuiz,1677961639,1,0,0
vmu7c279,27,3cbm3sys,20,post_experimental,Q,1677961789,1,0,0
vmu7c279,28,galec1ga,20,post_experimental,Q,1677961834,1,0,0
vmu7c279,27,3cbm3sys,21,post_experimental,Results,1677961845,1,0,0
vmu7c279,27,3cbm3sys,22,post_experimental,Debriefing,1677961854,1,0,0
vmu7c279,28,galec1ga,21,post_experimental,Results,1677961863,1,0,0
vmu7c279,28,galec1ga,22,post_experimental,Debriefing,1677961867,1,0,0
vmu7c279,29,bdf7oa04,1,pretrade,Consent,1677961914,1,0,0
vmu7c279,29,bdf7oa04,2,pretrade,Instructions,1677962157,1,0,0
vmu7c279,30,yt3h0how,1,pretrade,Consent,1677971417,1,0,0
vmu7c279,30,yt3h0how,2,pretrade,Instructions,1677971632,1,0,0
vmu7c279,30,yt3h0how,3,pretrade,CQPage,1677971744,1,0,0
vmu7c279,30,yt3h0how,4,pretrade,KnowledgeP,1677971750,1,0,0
vmu7c279,30,yt3h0how,5,trader_wrapper,AnnounceTrader,1677971752,1,0,0
vmu7c279,30,yt3h0how,6,trader_wrapper,Trader,1677971808,1,0,0
vmu7c279,30,yt3h0how,7,trader_wrapper,AnnounceTrader,1677971811,2,0,0
vmu7c279,30,yt3h0how,8,trader_wrapper,Trader,1677972187,2,0,0
vmu7c279,30,yt3h0how,9,trader_wrapper,AnnounceTrader,1677972189,3,0,0
vmu7c279,30,yt3h0how,10,trader_wrapper,Trader,1677972526,3,0,0
vmu7c279,30,yt3h0how,11,trader_wrapper,AnnounceTrader,1677972528,4,0,0
vmu7c279,30,yt3h0how,12,trader_wrapper,Trader,1677972859,4,0,0
vmu7c279,30,yt3h0how,13,trader_wrapper,AnnounceTrader,1677972861,5,0,0
vmu7c279,30,yt3h0how,14,trader_wrapper,Trader,1677973192,5,0,0
vmu7c279,30,yt3h0how,15,post_experimental,SelfReflection1,1677973200,1,0,0
vmu7c279,30,yt3h0how,16,post_experimental,SelfReflection2,1677973205,1,0,0
vmu7c279,30,yt3h0how,17,post_experimental,SelfReflection3,1677973214,1,0,0
vmu7c279,30,yt3h0how,18,post_experimental,SelfReflection4,1677973219,1,0,0
vmu7c279,30,yt3h0how,19,post_experimental,FinQuiz,1677973594,1,0,0
vmu7c279,30,yt3h0how,20,post_experimental,Q,1677973774,1,0,0
vmu7c279,30,yt3h0how,21,post_experimental,Results,1677973780,1,0,0
vmu7c279,30,yt3h0how,22,post_experimental,Debriefing,1677973783,1,0,0
