participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.treatment,player.martingale,player.consent,player.knowledge,player.cq1,player.cq2,player.cq4,player.cq5,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
3,bbbz8pjv,,0,0,23,,,,0,,,0.00,3,,0.00,,,,,,,,,1,1,agcjqk3r,,,,,1
4,xx9a8c7y,,0,10,23,trader_wrapper,Trader,2023-02-18 17:26:06.649363+00:00,1,,,0.00,4,,0.00,s2,0,1,7,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,agcjqk3r,,,,,1
5,xavpp8iz,,0,0,23,,,,0,,,0.00,5,,0.00,,,,,,,,,1,1,agcjqk3r,,,,,1
6,awuon9b4,,0,0,23,,,,0,,,0.00,6,,0.00,,,,,,,,,1,1,agcjqk3r,,,,,1
7,soppirqx,,0,0,23,,,,0,,,0.00,7,,0.00,,,,,,,,,1,1,agcjqk3r,,,,,1
8,tkj95b7t,,0,0,23,,,,0,,,0.00,8,,0.00,,,,,,,,,1,1,agcjqk3r,,,,,1
9,0721p08p,,0,0,23,,,,0,,,0.00,9,,0.00,,,,,,,,,1,1,agcjqk3r,,,,,1
10,qvx5s08a,,0,0,23,,,,0,,,0.00,10,,0.00,,,,,,,,,1,1,agcjqk3r,,,,,1
11,38hwzfhc,,0,0,23,,,,0,,,0.00,11,,0.00,,,,,,,,,1,1,agcjqk3r,,,,,1
12,521p1dji,,0,0,23,,,,0,,,0.00,12,,0.00,,,,,,,,,1,1,agcjqk3r,,,,,1
13,lqqsx1za,,0,0,23,,,,0,,,0.00,13,,0.00,,,,,,,,,1,1,agcjqk3r,,,,,1
14,enrwe6d6,,0,0,23,,,,0,,,0.00,14,,0.00,,,,,,,,,1,1,agcjqk3r,,,,,1
15,c9322wg2,,0,0,23,,,,0,,,0.00,15,,0.00,,,,,,,,,1,1,agcjqk3r,,,,,1
16,7rbs2sp4,,0,0,23,,,,0,,,0.00,16,,0.00,,,,,,,,,1,1,agcjqk3r,,,,,1
17,ieds7tdb,,0,0,23,,,,0,,,0.00,17,,0.00,,,,,,,,,1,1,agcjqk3r,,,,,1
18,u4xjl20a,,0,0,23,,,,0,,,0.00,18,,0.00,,,,,,,,,1,1,agcjqk3r,,,,,1
19,kj58v4dl,,0,0,23,,,,0,,,0.00,19,,0.00,,,,,,,,,1,1,agcjqk3r,,,,,1
20,2r7xjt5m,,0,0,23,,,,0,,,0.00,20,,0.00,,,,,,,,,1,1,agcjqk3r,,,,,1
21,cvyrn3uy,,0,0,23,,,,0,,,0.00,21,,0.00,,,,,,,,,1,1,agcjqk3r,,,,,1
22,e3c44qbe,,0,0,23,,,,0,,,0.00,22,,0.00,,,,,,,,,1,1,agcjqk3r,,,,,1
23,8bhmh4d7,,0,0,23,,,,0,,,0.00,23,,0.00,,,,,,,,,1,1,agcjqk3r,,,,,1
24,lvh1j7yh,,0,0,23,,,,0,,,0.00,24,,0.00,,,,,,,,,1,1,agcjqk3r,,,,,1
1,htsiiigz,,0,9,23,trader_wrapper,AnnounceTrader,2023-02-18 18:02:50.367808+00:00,1,,,0.00,1,,0.00,s1,0,1,7,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,dt9vndat,,,,,1
2,05ot34np,,0,0,23,,,,0,,,0.00,2,,0.00,,,,,,,,,1,1,dt9vndat,,,,,1
3,9eq2kd3q,,0,0,23,,,,0,,,0.00,3,,0.00,,,,,,,,,1,1,dt9vndat,,,,,1
4,opv4k56a,,0,8,23,trader_wrapper,Trader,2023-02-18 17:59:52.279256+00:00,1,,,0.00,4,,0.00,s2,0,1,8,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,dt9vndat,,,,,1
5,pyt8y366,,0,0,23,,,,0,,,0.00,5,,0.00,,,,,,,,,1,1,dt9vndat,,,,,1
6,829c7je4,,0,0,23,,,,0,,,0.00,6,,0.00,,,,,,,,,1,1,dt9vndat,,,,,1
7,k98oilgs,,0,0,23,,,,0,,,0.00,7,,0.00,,,,,,,,,1,1,dt9vndat,,,,,1
8,j5ztpiza,,0,0,23,,,,0,,,0.00,8,,0.00,,,,,,,,,1,1,dt9vndat,,,,,1
9,pzak62gl,,0,0,23,,,,0,,,0.00,9,,0.00,,,,,,,,,1,1,dt9vndat,,,,,1
10,3g2fa3iy,,0,0,23,,,,0,,,0.00,10,,0.00,,,,,,,,,1,1,dt9vndat,,,,,1
11,ow1set0f,,0,0,23,,,,0,,,0.00,11,,0.00,,,,,,,,,1,1,dt9vndat,,,,,1
12,yp74lp2b,,0,0,23,,,,0,,,0.00,12,,0.00,,,,,,,,,1,1,dt9vndat,,,,,1
13,7imes6hd,,0,0,23,,,,0,,,0.00,13,,0.00,,,,,,,,,1,1,dt9vndat,,,,,1
14,8eszk362,,0,0,23,,,,0,,,0.00,14,,0.00,,,,,,,,,1,1,dt9vndat,,,,,1
15,3olx25om,,0,0,23,,,,0,,,0.00,15,,0.00,,,,,,,,,1,1,dt9vndat,,,,,1
16,5c8x8zup,,0,0,23,,,,0,,,0.00,16,,0.00,,,,,,,,,1,1,dt9vndat,,,,,1
17,b17m65s6,,0,0,23,,,,0,,,0.00,17,,0.00,,,,,,,,,1,1,dt9vndat,,,,,1
18,tk9v2bb8,,0,0,23,,,,0,,,0.00,18,,0.00,,,,,,,,,1,1,dt9vndat,,,,,1
19,cq7c7kak,,0,0,23,,,,0,,,0.00,19,,0.00,,,,,,,,,1,1,dt9vndat,,,,,1
20,leqzhjvp,,0,0,23,,,,0,,,0.00,20,,0.00,,,,,,,,,1,1,dt9vndat,,,,,1
21,l2r7fv2m,,0,0,23,,,,0,,,0.00,21,,0.00,,,,,,,,,1,1,dt9vndat,,,,,1
22,s6stvqeh,,0,0,23,,,,0,,,0.00,22,,0.00,,,,,,,,,1,1,dt9vndat,,,,,1
23,ofds3b8p,,0,0,23,,,,0,,,0.00,23,,0.00,,,,,,,,,1,1,dt9vndat,,,,,1
24,vh33off8,,0,0,23,,,,0,,,0.00,24,,0.00,,,,,,,,,1,1,dt9vndat,,,,,1
1,ymwwxgml,,0,0,23,,,,0,,,0.00,1,,0.00,,,,,,,,,1,1,22gjy70m,,,,,1
2,o1got17b,,0,0,23,,,,0,,,0.00,2,,0.00,,,,,,,,,1,1,22gjy70m,,,,,1
3,j7feprnf,,0,0,23,,,,0,,,0.00,3,,0.00,,,,,,,,,1,1,22gjy70m,,,,,1
4,09ah0y67,,0,0,23,,,,0,,,0.00,4,,0.00,,,,,,,,,1,1,22gjy70m,,,,,1
5,78gofkmu,,0,0,23,,,,0,,,0.00,5,,0.00,,,,,,,,,1,1,22gjy70m,,,,,1
6,rgtrr0jt,,0,0,23,,,,0,,,0.00,6,,0.00,,,,,,,,,1,1,22gjy70m,,,,,1
7,pzw54je7,,0,0,23,,,,0,,,0.00,7,,0.00,,,,,,,,,1,1,22gjy70m,,,,,1
8,6tflui6y,,0,0,23,,,,0,,,0.00,8,,0.00,,,,,,,,,1,1,22gjy70m,,,,,1
9,8qoh7c4z,,0,0,23,,,,0,,,0.00,9,,0.00,,,,,,,,,1,1,22gjy70m,,,,,1
10,8gogkyzo,,0,0,23,,,,0,,,0.00,10,,0.00,,,,,,,,,1,1,22gjy70m,,,,,1
11,4yyau1uj,,0,0,23,,,,0,,,0.00,11,,0.00,,,,,,,,,1,1,22gjy70m,,,,,1
12,gjgt1et2,,0,0,23,,,,0,,,0.00,12,,0.00,,,,,,,,,1,1,22gjy70m,,,,,1
13,h1ttn7rs,,0,0,23,,,,0,,,0.00,13,,0.00,,,,,,,,,1,1,22gjy70m,,,,,1
14,8czpj94k,,0,0,23,,,,0,,,0.00,14,,0.00,,,,,,,,,1,1,22gjy70m,,,,,1
15,dpvrlnwk,,0,0,23,,,,0,,,0.00,15,,0.00,,,,,,,,,1,1,22gjy70m,,,,,1
16,3ycad6od,,0,0,23,,,,0,,,0.00,16,,0.00,,,,,,,,,1,1,22gjy70m,,,,,1
17,f5udf5fd,,0,0,23,,,,0,,,0.00,17,,0.00,,,,,,,,,1,1,22gjy70m,,,,,1
18,c8g2a85a,,0,0,23,,,,0,,,0.00,18,,0.00,,,,,,,,,1,1,22gjy70m,,,,,1
19,lbgyo8wd,,0,0,23,,,,0,,,0.00,19,,0.00,,,,,,,,,1,1,22gjy70m,,,,,1
20,fftov1yo,,0,0,23,,,,0,,,0.00,20,,0.00,,,,,,,,,1,1,22gjy70m,,,,,1
21,9iipwb9k,,0,0,23,,,,0,,,0.00,21,,0.00,,,,,,,,,1,1,22gjy70m,,,,,1
22,stccpfuy,,0,0,23,,,,0,,,0.00,22,,0.00,,,,,,,,,1,1,22gjy70m,,,,,1
23,cv0871m1,,0,0,23,,,,0,,,0.00,23,,0.00,,,,,,,,,1,1,22gjy70m,,,,,1
24,pyzn6h2q,,0,0,23,,,,0,,,0.00,24,,0.00,,,,,,,,,1,1,22gjy70m,,,,,1
1,nb26g4yl,,0,8,23,trader_wrapper,Trader,2023-02-19 17:54:19.874837+00:00,1,,,0.00,1,,0.00,s1,0,1,3,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,602cn794,,,,,1
2,21fg9al9,,0,0,23,,,,0,,,0.00,2,,0.00,,,,,,,,,1,1,602cn794,,,,,1
3,w884em2s,,0,0,23,,,,0,,,0.00,3,,0.00,,,,,,,,,1,1,602cn794,,,,,1
4,fpbljdn3,,0,0,23,,,,0,,,0.00,4,,0.00,,,,,,,,,1,1,602cn794,,,,,1
5,py6w9ry1,,0,0,23,,,,0,,,0.00,5,,0.00,,,,,,,,,1,1,602cn794,,,,,1
6,i7h9yael,,0,0,23,,,,0,,,0.00,6,,0.00,,,,,,,,,1,1,602cn794,,,,,1
7,9xitbowx,,0,0,23,,,,0,,,0.00,7,,0.00,,,,,,,,,1,1,602cn794,,,,,1
8,wrgkj1ru,,0,0,23,,,,0,,,0.00,8,,0.00,,,,,,,,,1,1,602cn794,,,,,1
9,tj2hjz5e,,0,0,23,,,,0,,,0.00,9,,0.00,,,,,,,,,1,1,602cn794,,,,,1
10,e8v1p2lg,,0,0,23,,,,0,,,0.00,10,,0.00,,,,,,,,,1,1,602cn794,,,,,1
11,ziv1a01t,,0,0,23,,,,0,,,0.00,11,,0.00,,,,,,,,,1,1,602cn794,,,,,1
12,34h1a5j4,,0,0,23,,,,0,,,0.00,12,,0.00,,,,,,,,,1,1,602cn794,,,,,1
13,bt248qt0,,0,0,23,,,,0,,,0.00,13,,0.00,,,,,,,,,1,1,602cn794,,,,,1
14,5jkcsv68,,0,0,23,,,,0,,,0.00,14,,0.00,,,,,,,,,1,1,602cn794,,,,,1
15,fffi5xag,,0,0,23,,,,0,,,0.00,15,,0.00,,,,,,,,,1,1,602cn794,,,,,1
16,nwh3n1br,,0,0,23,,,,0,,,0.00,16,,0.00,,,,,,,,,1,1,602cn794,,,,,1
17,v3kytgyu,,0,0,23,,,,0,,,0.00,17,,0.00,,,,,,,,,1,1,602cn794,,,,,1
18,ir3l5vok,,0,0,23,,,,0,,,0.00,18,,0.00,,,,,,,,,1,1,602cn794,,,,,1
19,75c8380u,,0,0,23,,,,0,,,0.00,19,,0.00,,,,,,,,,1,1,602cn794,,,,,1
20,jraohj6e,,0,0,23,,,,0,,,0.00,20,,0.00,,,,,,,,,1,1,602cn794,,,,,1
21,po6mub02,,0,0,23,,,,0,,,0.00,21,,0.00,,,,,,,,,1,1,602cn794,,,,,1
22,4n8r9bbv,,0,0,23,,,,0,,,0.00,22,,0.00,,,,,,,,,1,1,602cn794,,,,,1
23,cxpofdpz,,0,0,23,,,,0,,,0.00,23,,0.00,,,,,,,,,1,1,602cn794,,,,,1
24,sdsi0yp8,,0,0,23,,,,0,,,0.00,24,,0.00,,,,,,,,,1,1,602cn794,,,,,1
1,ygtiz45x,,0,1,23,pretrade,Consent,2023-02-22 04:13:22.797473+00:00,1,,,0.00,1,,0.00,s1,0,,,,,,,1,1,vmu7c279,,,,,0
2,2tpnec9l,,0,3,23,pretrade,CQPage,2023-02-22 04:49:26.207490+00:00,1,,,0.00,2,,0.00,s1,0,1,,,,,,1,1,vmu7c279,,,,,0
3,mi0088eg,,0,24,23,post_experimental,FinalForProlific,2023-02-22 21:46:15.910963+00:00,1,,,182.00,3,,0.00,s2,0,1,7,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vmu7c279,,,,,0
4,vqwit263,,0,2,23,pretrade,Instructions,2023-02-22 21:50:13.475781+00:00,1,,,0.00,4,,0.00,s2,0,1,,,,,,1,1,vmu7c279,,,,,0
5,jjg6yapy,,0,3,23,pretrade,CQPage,2023-02-22 22:31:36.873525+00:00,1,,,0.00,5,,0.00,s3,0,1,,,,,,1,1,vmu7c279,,,,,0
6,rue0tf1m,,0,1,23,pretrade,Consent,2023-02-24 00:20:38.277397+00:00,1,,,0.00,6,,0.00,s4,1,,,,,,,1,1,vmu7c279,,,,,0
7,oj3toyxl,,0,1,23,pretrade,Consent,2023-02-24 08:31:20.299679+00:00,1,,,0.00,7,,0.00,s1,0,,,,,,,1,1,vmu7c279,,,,,0
8,5y8ofza6,,0,1,23,pretrade,Consent,2023-02-24 21:58:34.560081+00:00,1,,,0.00,8,,0.00,s1,0,,,,,,,1,1,vmu7c279,,,,,0
9,8kcgpfii,,0,1,23,pretrade,Consent,2023-02-24 22:29:32.888564+00:00,1,,,0.00,9,,0.00,s2,0,,,,,,,1,1,vmu7c279,,,,,0
10,7jonfg2l,,0,24,23,post_experimental,FinalForProlific,2023-02-25 00:02:23.314708+00:00,1,,,216.00,10,,0.00,s2,0,1,6,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vmu7c279,,,,,0
11,5c7udvpd,,0,24,23,post_experimental,FinalForProlific,2023-02-25 02:15:44.446805+00:00,1,,,220.00,11,,0.00,s3,0,1,5,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vmu7c279,,,,,0
12,liaamqnq,,0,1,23,pretrade,Consent,2023-02-25 03:35:37.043109+00:00,1,,,0.00,12,,0.00,s4,1,,,,,,,1,1,vmu7c279,,,,,0
13,nguao961,,0,1,23,pretrade,Consent,2023-02-25 04:02:07.744624+00:00,1,,,0.00,13,,0.00,s1,0,,,,,,,1,1,vmu7c279,,,,,0
14,nlp1gb1k,,0,24,23,post_experimental,FinalForProlific,2023-02-25 23:29:34.117537+00:00,1,,,167.00,14,,0.00,s1,0,1,7,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vmu7c279,,,,,0
15,gcs54w3b,,0,24,23,post_experimental,FinalForProlific,2023-02-26 19:07:57.281915+00:00,1,,,237.00,15,,0.00,s2,0,1,5,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vmu7c279,,,,,0
16,xyxg2tr7,,0,2,23,pretrade,Instructions,2023-02-27 05:34:42.569511+00:00,1,,,0.00,16,,0.00,s2,0,1,,,,,,1,1,vmu7c279,,,,,0
17,3z3xziwc,,0,1,23,pretrade,Consent,2023-02-27 17:57:56.714876+00:00,1,,,0.00,17,,0.00,s3,0,,,,,,,1,1,vmu7c279,,,,,0
18,bz4stjvu,,0,2,23,pretrade,Instructions,2023-02-28 03:23:02.618663+00:00,1,,,0.00,18,,0.00,s4,1,1,,,,,,1,1,vmu7c279,,,,,0
19,sn12xrqu,,0,1,23,pretrade,Consent,2023-02-28 14:48:58.255343+00:00,1,,,0.00,19,,0.00,s1,0,,,,,,,1,1,vmu7c279,,,,,0
20,hre8fq8i,,0,24,23,post_experimental,FinalForProlific,2023-03-01 22:54:31.871982+00:00,1,,,202.00,20,,0.00,s1,0,1,6,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vmu7c279,,,,,0
21,pb727kvg,,0,24,23,post_experimental,FinalForProlific,2023-03-03 23:00:43.145273+00:00,1,,,231.00,21,,0.00,s2,0,1,2,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vmu7c279,,,,,0
22,62y0e1hu,,0,1,23,pretrade,Consent,2023-03-04 06:39:58.117995+00:00,1,,,0.00,22,,0.00,s2,0,,,,,,,1,1,vmu7c279,,,,,0
23,pgdv91vz,,0,24,23,post_experimental,FinalForProlific,2023-03-04 17:19:43.172888+00:00,1,,,196.00,23,,0.00,s3,0,1,4,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vmu7c279,,,,,0
24,wnfmow9i,,0,1,23,pretrade,Consent,2023-03-04 17:37:23.224992+00:00,1,,,0.00,24,,0.00,s4,1,,,,,,,1,1,vmu7c279,,,,,0
25,j6by7vxv,,0,3,23,pretrade,CQPage,2023-03-04 17:39:17.016494+00:00,1,,,0.00,25,,0.00,s1,0,1,,,,,,1,1,vmu7c279,,,,,0
26,szq18i6r,,0,1,23,pretrade,Consent,2023-03-04 18:24:22.065463+00:00,1,,,0.00,26,,0.00,s1,0,,,,,,,1,1,vmu7c279,,,,,0
27,3cbm3sys,,0,24,23,post_experimental,FinalForProlific,2023-03-04 19:37:05.620386+00:00,1,,,266.00,27,,0.00,s2,0,1,7,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vmu7c279,,,,,0
28,galec1ga,,0,24,23,post_experimental,FinalForProlific,2023-03-04 19:42:34.568323+00:00,1,,,291.00,28,,0.00,s2,0,1,6,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vmu7c279,,,,,0
29,bdf7oa04,,0,3,23,pretrade,CQPage,2023-03-04 20:31:42.403597+00:00,1,,,0.00,29,,0.00,s3,0,1,,,,,,1,1,vmu7c279,,,,,0
30,yt3h0how,,0,24,23,post_experimental,FinalForProlific,2023-03-04 23:10:05.248550+00:00,1,,,182.00,30,,0.00,s4,1,1,5,The stock price is equally likely to go up or down,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vmu7c279,,,,,0
31,9tgosrqz,,0,1,23,pretrade,Consent,2023-03-04 23:26:48.265289+00:00,1,,,0.00,31,,0.00,s1,0,,,,,,,1,1,vmu7c279,,,,,0
32,zzc584nm,,0,24,23,post_experimental,FinalForProlific,2023-03-05 01:26:08.621339+00:00,1,,,196.00,32,,0.00,s1,0,1,7,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vmu7c279,,,,,0
33,bftyci8i,,0,2,23,pretrade,Instructions,2023-03-05 01:37:25.033153+00:00,1,,,0.00,33,,0.00,s2,0,1,,,,,,1,1,vmu7c279,,,,,0
34,s3jkj8cd,,0,3,23,pretrade,CQPage,2023-03-05 08:04:38.421264+00:00,1,,,0.00,34,,0.00,s2,0,1,,,,,,1,1,vmu7c279,,,,,0
35,q5w3ghvj,,0,24,23,post_experimental,FinalForProlific,2023-03-05 18:11:04.493943+00:00,1,,,216.00,35,,0.00,s3,0,1,5,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vmu7c279,,,,,0
36,8vrmmtmo,,0,24,23,post_experimental,FinalForProlific,2023-03-05 21:48:52.343720+00:00,1,,,212.00,36,,0.00,s4,1,1,7,The stock price is equally likely to go up or down,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vmu7c279,,,,,0
37,ot80gep3,,0,24,23,post_experimental,FinalForProlific,2023-03-05 22:41:59.441763+00:00,1,,,122.00,37,,0.00,s1,0,1,7,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vmu7c279,,,,,0
38,93y42seh,,0,24,23,post_experimental,FinalForProlific,2023-03-06 01:35:44.422768+00:00,1,,,176.00,38,,0.00,s1,0,1,9,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vmu7c279,,,,,0
39,mbj7g6v1,,0,24,23,post_experimental,FinalForProlific,2023-03-06 01:44:04.880736+00:00,1,,,196.00,39,,0.00,s2,0,1,5,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vmu7c279,,,,,0
40,mr16f2a1,,0,3,23,pretrade,CQPage,2023-03-06 02:43:51.915037+00:00,1,,,0.00,40,,0.00,s2,0,1,,,,,,1,1,vmu7c279,,,,,0
41,e9v681y0,,0,2,23,pretrade,Instructions,2023-03-06 03:05:28.994625+00:00,1,,,0.00,41,,0.00,s3,0,1,,,,,,1,1,vmu7c279,,,,,0
42,esenlcnq,,0,2,23,pretrade,Instructions,2023-03-06 05:12:39.871677+00:00,1,,,0.00,42,,0.00,s4,1,1,,,,,,1,1,vmu7c279,,,,,0
43,3fdl23wl,,0,1,23,pretrade,Consent,2023-03-06 18:50:52.481353+00:00,1,,,0.00,43,,0.00,s1,0,,,,,,,1,1,vmu7c279,,,,,0
44,y0d7uk3z,,0,24,23,post_experimental,FinalForProlific,2023-03-07 01:41:09.185816+00:00,1,,,242.00,44,,0.00,s1,0,1,7,The stock price is likelier to go up again,"You can purchase it, but any negative cash balance is subtracted from your final earnings",Your payoff in a randomly selected round and your correct answers in the post-experimental quiz,If your position in the stock changes between two consecutive price updates,1,1,vmu7c279,,,,,0
45,uvadpr7m,,0,2,23,pretrade,Instructions,2023-03-07 02:40:30.101117+00:00,1,,,0.00,45,,0.00,s2,0,1,,,,,,1,1,vmu7c279,,,,,0
